temps (s),hauteur (m)
0.0,0.024835707650561634
0.054,0.5187983849414408
0.108,1.0552308269050348
0.162,1.5675558928204014
0.216,1.9196779312638332
0.27,2.331083152152541
0.324,2.8045782407753697
0.378,3.1182401364576453
0.432,3.3820686807032527
0.486,3.729767602179298
0.54,3.947989115359377
0.594,4.187817112321486
0.648,4.434568513578301
0.702,4.50959638776711
0.756,4.673227708374348
0.8099999999999999,4.8569956235379514
0.864,4.931528043983279
0.918,5.066364766629763
0.972,5.045157196223938
1.026,5.031272414933235
1.08,5.155642438446077
1.1340000000000001,5.025030784975673
1.1880000000000002,4.965078810234395
1.242,4.787270990689327
1.296,4.699518463773741
1.35,4.5719361294854926
1.404,4.319915921128885
1.458,4.178749300917284
1.512,3.883854465504059
1.566,3.6246469125103356
1.62,3.305914669388529
1.674,3.096805509225447
1.728,2.6431315387631034
1.782,2.2019588535522043
1.8359999999999999,1.87843284560516
1.89,1.3301478175014492
1.944,0.9269407797502374
1.998,0.31524489380601073
2.052,-0.18502690244492187
2.106,-0.6691973382065428
