n° point,temps (s),x (m),y (m)
1,0.0,0.342,-0.9397
2,0.04,0.3394,-0.9406
3,0.08,0.3318,-0.9434
4,0.12,0.319,-0.9477
5,0.16,0.3014,-0.9535
6,0.2,0.279,-0.9603
7,0.24,0.2522,-0.9677
8,0.28,0.2214,-0.9752
9,0.32,0.1868,-0.9824
10,0.36,0.1491,-0.9888
11,0.4,0.1089,-0.9941
12,0.44,0.0668,-0.9978
13,0.48,0.0235,-0.9997
14,0.52,-0.0202,-0.9998
15,0.56,-0.0635,-0.998
16,0.6,-0.1058,-0.9944
17,0.64,-0.1462,-0.9893
18,0.68,-0.1841,-0.9829
19,0.72,-0.2189,-0.9758
20,0.76,-0.25,-0.9682
21,0.8,-0.2772,-0.9608
22,0.84,-0.2999,-0.954
23,0.88,-0.3179,-0.9481
24,0.92,-0.331,-0.9436
25,0.96,-0.339,-0.9408
26,1.0,-0.342,-0.9397
27,1.04,-0.3398,-0.9405
28,1.08,-0.3325,-0.9431
29,1.12,-0.3202,-0.9474
30,1.16,-0.3029,-0.953
31,1.2,-0.2809,-0.9597
32,1.24,-0.2544,-0.9671
33,1.28,-0.2238,-0.9746
34,1.32,-0.1896,-0.9819
35,1.36,-0.1521,-0.9884
36,1.4,-0.112,-0.9937
37,1.44,-0.07,-0.9975
38,1.48,-0.0268,-0.9996
39,1.52,0.0169,-0.9999
40,1.56,0.0603,-0.9982
41,1.6,0.1026,-0.9947
42,1.64,0.1432,-0.9897
43,1.68,0.1813,-0.9834
44,1.72,0.2164,-0.9763
45,1.76,0.2478,-0.9688
46,1.8,0.2753,-0.9614
47,1.84,0.2983,-0.9545
48,1.88,0.3167,-0.9485
49,1.92,0.3301,-0.9439
50,1.96,0.3386,-0.9409
51,2.0,0.342,-0.9397
